CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
77.206, 207.399, 1
82.504, 203.528, 1
87.24, 208.165, 1
80.312, 193.038, 1
92.758, 211.349, 1
94.093, 203.107, 1
60.27, 2.239, 6
81.096, 125.659, 6
79.614, 81.378, 6
80.289, 98.826, 6
89.061, 187.129, 1
91.291, 90.714, 6
156.951, 123.372, 3
163.416, 120.259, 3
169.581, 130.915, 3
141.483, 116.836, 6
140.703, 134.633, 1
149.961, 105.931, 6
136.735, 114.267, 6
141.048, 105.307, 6
169.374, 145.044, 1
186.109, 213.188, 1
182.516, 197.364, 1
173.253, 202.539, 1
179.71, 196.601, 1
179.325, 183.039, 1
183.882, 180.129, 1
176.378, 180.437, 1
166.553, 184.269, 1
160.121, 202.425, 1
119.156, 52.65, 6
118.357, 69.374, 6
137.272, 39.224, 6
187.725, 156.24, 1
188.355, 165.315, 1
178.229, 161.872, 1
166.883, 157.904, 1
116.118, 71.376, 6
156.287, 151.692, 1
84.513, 8.18, 6
77.557, 4.135, 6
92.942, 0.0, 6
73.865, 3.958, 6
98.118, 14.335, 6
100.262, 26.908, 6
92.867, 77.267, 6
134.643, 202.166, 1
128.736, 196.223, 1
130.889, 212.815, 1
134.145, 215.491, 1
147.196, 211.496, 1
141.329, 216.199, 1
148.232, 191.966, 1
132.281, 180.23, 1
114.483, 193.278, 1
146.419, 181.934, 1
104.163, 141.264, 1
103.126, 168.055, 1
185.184, 84.777, 3
179.955, 99.165, 3
192.187, 67.516, 3
172.693, 69.209, 3
164.571, 81.647, 3
192.627, 108.784, 3
124.897, 110.167, 6
126.383, 102.382, 6
131.195, 115.119, 6
121.778, 120.432, 6
126.171, 96.432, 6
106.54, 113.393, 6
137.012, 95.595, 6
103.062, 121.03, 6
138.67, 89.985, 6
102.532, 216.067, 1
111.508, 212.629, 1
152.305, 22.975, 6
152.39, 27.373, 6
135.855, 18.34, 6
145.969, 74.546, 6
147.28, 59.006, 6
156.807, 62.972, 6
153.167, 91.239, 6
142.763, 145.726, 1
138.237, 162.619, 1
127.799, 162.345, 1
90.099, 42.151, 6
115.256, 179.533, 1
168.822, 48.891, 6
186.295, 231.05, 7
166.81, 221.693, 1
200.482, 231.927, 0
130.806, 221.249, 1
114.653, 222.802, 1
136.164, 233.668, 1
117.544, 232.177, 1
226.22, 229.147, 0
218.627, 241.452, 4
243.957, 232.375, 0
240.894, 245.705, 4
238.377, 251.642, 4
196.239, 250.098, 7
185.561, 250.718, 7
213.111, 251.118, 4
193.211, 268.542, 7
177.118, 253.514, 7
200.484, 318.812, 7
196.161, 331.201, 7
219.445, 319.189, 4
222.131, 305.847, 4
205.614, 293.099, 7
219.323, 333.981, 4
224.515, 324.824, 4
