CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
77.206, 207.399, 1
82.504, 203.528, 1
87.24, 208.165, 1
80.312, 193.038, 1
92.758, 211.349, 1
94.093, 203.107, 1
60.27, 2.239, 1
81.096, 125.659, 1
79.614, 81.378, 1
80.289, 98.826, 1
89.061, 187.129, 1
91.291, 90.714, 1
156.951, 123.372, 1
163.416, 120.259, 1
169.581, 130.915, 1
141.483, 116.836, 1
140.703, 134.633, 1
149.961, 105.931, 1
136.735, 114.267, 1
141.048, 105.307, 1
169.374, 145.044, 1
186.109, 213.188, 2
182.516, 197.364, 2
173.253, 202.539, 2
179.71, 196.601, 2
179.325, 183.039, 1
183.882, 180.129, 1
176.378, 180.437, 1
166.553, 184.269, 1
160.121, 202.425, 2
119.156, 52.65, 1
118.357, 69.374, 1
137.272, 39.224, 1
187.725, 156.24, 1
188.355, 165.315, 1
178.229, 161.872, 1
166.883, 157.904, 1
116.118, 71.376, 1
156.287, 151.692, 1
84.513, 8.18, 1
77.557, 4.135, 1
92.942, 0.0, 1
73.865, 3.958, 1
98.118, 14.335, 1
100.262, 26.908, 1
92.867, 77.267, 1
134.643, 202.166, 1
128.736, 196.223, 1
130.889, 212.815, 2
134.145, 215.491, 2
147.196, 211.496, 2
141.329, 216.199, 2
148.232, 191.966, 1
132.281, 180.23, 1
114.483, 193.278, 1
146.419, 181.934, 1
104.163, 141.264, 1
103.126, 168.055, 1
185.184, 84.777, 1
179.955, 99.165, 1
192.187, 67.516, 1
172.693, 69.209, 1
164.571, 81.647, 1
192.627, 108.784, 1
124.897, 110.167, 1
126.383, 102.382, 1
131.195, 115.119, 1
121.778, 120.432, 1
126.171, 96.432, 1
106.54, 113.393, 1
137.012, 95.595, 1
103.062, 121.03, 1
138.67, 89.985, 1
102.532, 216.067, 1
111.508, 212.629, 1
152.305, 22.975, 1
152.39, 27.373, 1
135.855, 18.34, 1
145.969, 74.546, 1
147.28, 59.006, 1
156.807, 62.972, 1
153.167, 91.239, 1
142.763, 145.726, 1
138.237, 162.619, 1
127.799, 162.345, 1
90.099, 42.151, 1
115.256, 179.533, 1
168.822, 48.891, 1
186.295, 231.05, 2
166.81, 221.693, 2
200.482, 231.927, 2
130.806, 221.249, 2
114.653, 222.802, 2
136.164, 233.668, 2
117.544, 232.177, 2
226.22, 229.147, 2
218.627, 241.452, 2
243.957, 232.375, 2
240.894, 245.705, 2
238.377, 251.642, 2
196.239, 250.098, 2
185.561, 250.718, 2
213.111, 251.118, 2
193.211, 268.542, 2
177.118, 253.514, 2
200.484, 318.812, 2
196.161, 331.201, 3
219.445, 319.189, 2
222.131, 305.847, 2
205.614, 293.099, 2
219.323, 333.981, 3
224.515, 324.824, 2
