CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
77.206, 207.399, 2
82.504, 203.528, 2
87.24, 208.165, 2
80.312, 193.038, 2
92.758, 211.349, 2
94.093, 203.107, 2
60.27, 2.239, 1
81.096, 125.659, 1
79.614, 81.378, 1
80.289, 98.826, 1
89.061, 187.129, 2
91.291, 90.714, 1
156.951, 123.372, 1
163.416, 120.259, 1
169.581, 130.915, 1
141.483, 116.836, 1
140.703, 134.633, 1
149.961, 105.931, 1
136.735, 114.267, 1
141.048, 105.307, 1
169.374, 145.044, 2
186.109, 213.188, 2
182.516, 197.364, 2
173.253, 202.539, 2
179.71, 196.601, 2
179.325, 183.039, 2
183.882, 180.129, 2
176.378, 180.437, 2
166.553, 184.269, 2
160.121, 202.425, 2
119.156, 52.65, 1
118.357, 69.374, 1
137.272, 39.224, 1
187.725, 156.24, 2
188.355, 165.315, 2
178.229, 161.872, 2
166.883, 157.904, 2
116.118, 71.376, 1
156.287, 151.692, 2
84.513, 8.18, 1
77.557, 4.135, 1
92.942, 0.0, 1
73.865, 3.958, 1
98.118, 14.335, 1
100.262, 26.908, 1
92.867, 77.267, 1
134.643, 202.166, 2
128.736, 196.223, 2
130.889, 212.815, 2
134.145, 215.491, 2
147.196, 211.496, 2
141.329, 216.199, 2
148.232, 191.966, 2
132.281, 180.23, 2
114.483, 193.278, 2
146.419, 181.934, 2
104.163, 141.264, 1
103.126, 168.055, 2
185.184, 84.777, 1
179.955, 99.165, 1
192.187, 67.516, 5
172.693, 69.209, 1
164.571, 81.647, 1
192.627, 108.784, 5
124.897, 110.167, 1
126.383, 102.382, 1
131.195, 115.119, 1
121.778, 120.432, 1
126.171, 96.432, 1
106.54, 113.393, 1
137.012, 95.595, 1
103.062, 121.03, 1
138.67, 89.985, 1
102.532, 216.067, 2
111.508, 212.629, 2
152.305, 22.975, 1
152.39, 27.373, 1
135.855, 18.34, 1
145.969, 74.546, 1
147.28, 59.006, 1
156.807, 62.972, 1
153.167, 91.239, 1
142.763, 145.726, 2
138.237, 162.619, 2
127.799, 162.345, 2
90.099, 42.151, 1
115.256, 179.533, 2
168.822, 48.891, 1
186.295, 231.05, 2
166.81, 221.693, 2
200.482, 231.927, 2
130.806, 221.249, 2
114.653, 222.802, 2
136.164, 233.668, 2
117.544, 232.177, 2
226.22, 229.147, 0
218.627, 241.452, 0
243.957, 232.375, 0
240.894, 245.705, 0
238.377, 251.642, 0
196.239, 250.098, 0
185.561, 250.718, 2
213.111, 251.118, 0
193.211, 268.542, 3
177.118, 253.514, 2
200.484, 318.812, 3
196.161, 331.201, 3
219.445, 319.189, 3
222.131, 305.847, 3
205.614, 293.099, 3
219.323, 333.981, 3
224.515, 324.824, 3
253.475, 421.252, 6
245.051, 249.381, 0
252.019, 248.391, 0
253.98, 256.821, 0
255.645, 251.346, 0
246.58, 265.624, 0
238.618, 267.463, 0
257.256, 254.044, 0
254.351, 262.53, 0
257.527, 256.578, 0
233.889, 270.039, 0
261.73, 252.514, 0
261.327, 256.505, 0
261.533, 247.01, 0
260.873, 264.547, 0
263.49, 243.404, 0
262.325, 240.276, 0
256.157, 232.468, 0
265.275, 253.57, 0
265.345, 245.819, 0
273.36, 342.655, 3
279.251, 319.571, 0
166.665, 251.765, 2
157.652, 250.766, 2
160.668, 241.809, 2
156.321, 261.346, 2
233.211, 331.917, 3
230.502, 322.468, 3
231.011, 344.991, 3
240.937, 314.877, 3
254.974, 322.657, 3
231.259, 353.206, 3
266.667, 253.298, 0
267.032, 254.265, 0
267.783, 261.475, 0
272.114, 254.59, 0
264.719, 266.105, 0
265.458, 267.252, 0
129.956, 257.823, 2
146.451, 247.156, 2
0.0, 512.874, 6
163.262, 347.696, 3
142.683, 322.354, 3
268.562, 266.862, 0
267.589, 272.582, 0
271.927, 269.694, 0
272.137, 263.605, 0
255.638, 273.963, 0
262.948, 280.402, 0
278.004, 268.01, 0
277.804, 262.389, 0
271.776, 287.264, 0
279.624, 272.208, 0
250.096, 281.067, 0
253.706, 284.463, 0
241.585, 281.633, 0
185.06, 429.564, 6
173.44, 435.068, 6
190.867, 441.214, 6
199.683, 416.529, 6
226.254, 273.018, 0
167.761, 371.322, 6
161.386, 308.062, 3
152.623, 307.473, 3
172.715, 304.892, 3
158.174, 296.268, 3
155.297, 295.749, 3
169.275, 290.152, 3
160.15, 288.88, 3
153.015, 289.017, 3
197.943, 278.66, 3
205.471, 275.254, 3
211.258, 277.516, 3
208.691, 454.456, 6
197.409, 482.048, 6
223.846, 294.139, 3
237.517, 297.802, 3
220.026, 284.474, 3
207.307, 353.32, 3
285.149, 282.249, 0
295.144, 283.339, 0
297.478, 295.256, 0
270.185, 295.035, 0
260.123, 297.367, 0
93.985, 462.888, 6
133.66, 308.303, 3
156.669, 274.772, 3
198.298, 395.15, 6
213.407, 373.191, 3
131.986, 297.139, 3
138.228, 281.645, 3
203.24, 384.646, 6
183.154, 399.338, 6
27.782, 549.381, 6
76.919, 513.673, 6
157.377, 399.913, 6
127.247, 352.044, 3
128.101, 368.436, 6
131.498, 475.596, 6
163.227, 501.405, 6
258.886, 380.811, 3
250.358, 371.881, 3
54.049, 466.382, 6
237.062, 442.076, 6
213.448, 508.283, 6
203.586, 210.309, 2
205.336, 204.444, 2
195.648, 192.932, 2
204.314, 183.728, 2
195.823, 142.03, 5
203.829, 149.756, 5
203.156, 168.743, 2
194.47, 76.378, 5
203.666, 74.712, 5
203.001, 68.732, 5
206.173, 67.422, 5
207.029, 70.768, 5
208.673, 77.736, 5
211.575, 77.785, 5
202.138, 124.997, 5
216.496, 65.295, 5
218.759, 72.476, 5
216.0, 78.232, 5
232.151, 63.329, 5
294.927, 28.781, 5
243.727, 215.604, 0
245.992, 218.029, 0
244.197, 210.4, 0
233.593, 211.968, 0
215.492, 206.605, 0
252.254, 213.381, 0
257.564, 207.144, 0
244.748, 200.362, 0
267.005, 205.033, 0
237.301, 162.853, 5
226.293, 159.97, 5
221.6, 151.548, 5
244.801, 181.26, 0
256.741, 173.323, 5
215.48, 166.828, 2
341.081, 182.104, 4
334.509, 178.927, 4
338.896, 186.09, 4
333.348, 185.525, 4
344.0, 184.992, 4
346.276, 174.188, 4
350.269, 178.12, 4
342.736, 168.402, 4
325.976, 190.043, 4
327.653, 168.264, 4
341.225, 163.952, 4
344.108, 164.596, 4
341.586, 198.674, 4
337.45, 200.126, 4
354.468, 170.374, 4
333.674, 199.898, 4
327.03, 198.522, 4
356.884, 192.024, 4
328.526, 200.462, 4
320.498, 167.44, 4
324.162, 161.935, 4
325.561, 202.482, 4
356.514, 160.176, 4
368.777, 170.397, 4
349.595, 156.785, 4
371.208, 177.605, 4
374.529, 170.437, 4
372.515, 181.944, 4
376.011, 176.56, 4
358.235, 150.768, 4
373.732, 183.158, 4
378.389, 171.33, 4
371.115, 188.8, 4
307.903, 198.221, 4
302.476, 200.869, 4
313.52, 200.66, 4
314.01, 197.15, 4
315.169, 205.617, 4
308.015, 186.778, 4
292.878, 198.905, 4
322.363, 202.771, 4
291.265, 188.661, 4
287.001, 201.355, 4
320.774, 150.759, 4
307.307, 155.096, 4
339.821, 148.013, 4
302.416, 167.566, 4
213.808, 193.809, 2
292.461, 162.623, 4
289.281, 168.19, 4
285.855, 178.466, 4
283.138, 160.869, 4
314.105, 80.616, 5
299.52, 92.094, 5
307.654, 102.413, 5
339.951, 211.275, 4
341.177, 206.43, 4
221.21, 86.752, 5
228.487, 101.673, 5
218.757, 97.802, 5
219.98, 112.004, 5
220.67, 117.933, 5
212.233, 91.23, 5
236.115, 86.7, 5
354.403, 203.595, 4
346.554, 216.121, 4
239.934, 137.214, 5
240.446, 125.6, 5
221.044, 134.844, 5
258.155, 131.502, 5
281.164, 191.888, 4
268.292, 197.815, 0
277.765, 206.095, 0
264.186, 182.508, 0
297.671, 141.566, 4
358.644, 122.104, 4
356.076, 104.711, 4
335.441, 119.806, 4
254.753, 186.301, 0
358.296, 223.24, 4
371.864, 193.235, 4
371.023, 220.187, 4
322.946, 133.448, 4
316.965, 114.83, 4
381.167, 155.055, 4
267.985, 151.106, 5
377.359, 139.952, 4
289.021, 62.938, 5
310.227, 51.873, 5
274.458, 81.043, 5
273.984, 68.645, 5
275.436, 94.498, 5
254.767, 92.72, 5
288.868, 103.888, 5
278.35, 112.045, 5
278.78, 115.762, 5
266.65, 117.252, 5
274.704, 121.906, 5
269.457, 124.891, 5
286.533, 126.874, 5
255.841, 114.831, 5
270.343, 134.243, 5
376.855, 230.249, 4
298.463, 120.607, 5
