CLIENT COORDINATES AND CENTROID NUMBER
x, y, centroid_no
77.206, 207.399, 4
82.504, 203.528, 4
87.24, 208.165, 4
80.312, 193.038, 4
92.758, 211.349, 4
94.093, 203.107, 4
60.27, 2.239, 6
81.096, 125.659, 6
79.614, 81.378, 6
80.289, 98.826, 6
89.061, 187.129, 4
91.291, 90.714, 6
156.951, 123.372, 6
163.416, 120.259, 6
169.581, 130.915, 6
141.483, 116.836, 6
140.703, 134.633, 4
149.961, 105.931, 6
136.735, 114.267, 6
141.048, 105.307, 6
169.374, 145.044, 4
186.109, 213.188, 7
182.516, 197.364, 7
173.253, 202.539, 4
179.71, 196.601, 7
179.325, 183.039, 7
183.882, 180.129, 7
176.378, 180.437, 7
166.553, 184.269, 4
160.121, 202.425, 4
119.156, 52.65, 6
118.357, 69.374, 6
137.272, 39.224, 6
187.725, 156.24, 7
188.355, 165.315, 7
178.229, 161.872, 7
166.883, 157.904, 4
116.118, 71.376, 6
156.287, 151.692, 4
84.513, 8.18, 6
77.557, 4.135, 6
92.942, 0.0, 6
73.865, 3.958, 6
98.118, 14.335, 6
100.262, 26.908, 6
92.867, 77.267, 6
134.643, 202.166, 4
128.736, 196.223, 4
130.889, 212.815, 4
134.145, 215.491, 4
147.196, 211.496, 4
141.329, 216.199, 4
148.232, 191.966, 4
132.281, 180.23, 4
114.483, 193.278, 4
146.419, 181.934, 4
104.163, 141.264, 4
103.126, 168.055, 4
185.184, 84.777, 6
179.955, 99.165, 6
192.187, 67.516, 1
172.693, 69.209, 6
164.571, 81.647, 6
192.627, 108.784, 1
124.897, 110.167, 6
126.383, 102.382, 6
131.195, 115.119, 6
121.778, 120.432, 6
126.171, 96.432, 6
106.54, 113.393, 6
137.012, 95.595, 6
103.062, 121.03, 6
138.67, 89.985, 6
102.532, 216.067, 4
111.508, 212.629, 4
152.305, 22.975, 6
152.39, 27.373, 6
135.855, 18.34, 6
145.969, 74.546, 6
147.28, 59.006, 6
156.807, 62.972, 6
153.167, 91.239, 6
142.763, 145.726, 4
138.237, 162.619, 4
127.799, 162.345, 4
90.099, 42.151, 6
115.256, 179.533, 4
168.822, 48.891, 6
186.295, 231.05, 7
166.81, 221.693, 4
200.482, 231.927, 7
130.806, 221.249, 4
114.653, 222.802, 4
136.164, 233.668, 4
117.544, 232.177, 4
226.22, 229.147, 7
218.627, 241.452, 7
243.957, 232.375, 7
240.894, 245.705, 0
238.377, 251.642, 0
196.239, 250.098, 3
185.561, 250.718, 3
213.111, 251.118, 0
193.211, 268.542, 3
177.118, 253.514, 3
